WVHT,APD,CAT
3.1,8.21,1
3.32,7.82,1
3.36,7.41,1
3.41,5.68,1
3.44,7.84,1
3.5,7.84,1
3.51,7.86,1
3.6,7.1,1
3.63,7.16,1
3.68,7.2,1
3.89,6.62,1
3.97,8.31,1
4,6.25,1
4,6.4,1
4.05,6.2,1
4.07,6.06,1
4.14,6.21,1
4.16,7.22,1
4.17,6.56,1
4.21,7.31,1
4.24,6.83,1
4.32,7.42,1
4.4,6.72,1
4.52,6.09,1
4.56,7.02,1
4.7,6.42,1
2.47,5.51,0
2.49,6.19,0
2.5,6.51,0
2.51,6.48,0
2.52,6.43,0
2.56,7.22,0
2.57,4.95,0
2.57,7.69,0
2.59,6.85,0
2.6,7.03,0
2.63,5.61,0
2.65,7.13,0
2.65,7.72,0
2.67,5.29,0
2.67,5.39,0
2.67,6.75,0
2.69,5.59,0
2.72,8.13,1
2.73,10.09,1
2.77,5.54,0
2.78,8.42,1
2.78,8.6,1
2.84,8.01,1
2.84,10.42,1
2.41,5.1,0
2.41,9.65,1
2.45,5.15,0
